epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2669.18,0.66201,0.45926,1.03788,0.93909,0.84549,0.92178,0.84175,0.43883,0.53489,0.94828,0.0005644,0.0005644,0.0005644
90,2699.38,0.64393,0.45753,1.02534,0.93842,0.85031,0.93922,0.85609,0.38381,0.44882,0.9231,0.00055945,0.00055945,0.00055945
91,2729.64,0.65252,0.44517,1.02586,0.96509,0.87124,0.95211,0.87738,0.39487,0.42165,0.94128,0.0005545,0.0005545,0.0005545
92,2759.84,0.64674,0.45045,1.0226,0.93503,0.91416,0.95384,0.88821,0.37194,0.39376,0.91632,0.00054955,0.00054955,0.00054955
93,2790.07,0.64135,0.43609,1.01946,0.93298,0.87124,0.9471,0.88376,0.3465,0.39439,0.90479,0.0005446,0.0005446,0.0005446
94,2820.31,0.62858,0.42882,1.0125,0.94384,0.86561,0.933,0.85715,0.39049,0.45726,0.89899,0.00053965,0.00053965,0.00053965
95,2850.57,0.61059,0.42186,1.00241,0.93841,0.84979,0.93761,0.86557,0.40532,0.47773,0.93233,0.0005347,0.0005347,0.0005347
96,2880.79,0.63926,0.43093,1.0166,0.94313,0.9253,0.95894,0.8813,0.3818,0.38945,0.92123,0.00052975,0.00052975,0.00052975
97,2911.04,0.628,0.42491,1.01968,0.94669,0.91457,0.95872,0.87203,0.39347,0.39215,0.94749,0.0005248,0.0005248,0.0005248
98,2941.31,0.63159,0.42705,1.01237,0.95028,0.90231,0.96301,0.88606,0.40269,0.3921,0.93297,0.00051985,0.00051985,0.00051985
99,2971.53,0.63057,0.42286,1.01476,0.93636,0.90129,0.94794,0.8666,0.39383,0.40265,0.92398,0.0005149,0.0005149,0.0005149
100,3001.77,0.6249,0.42056,1.00971,0.94328,0.85644,0.94856,0.84974,0.42368,0.4314,0.94505,0.00050995,0.00050995,0.00050995
101,3031.99,0.59858,0.40597,0.99023,0.93517,0.8927,0.94799,0.87485,0.40787,0.46708,0.91699,0.000505,0.000505,0.000505
102,3062.23,0.60292,0.40097,0.99233,0.93307,0.89747,0.9606,0.87131,0.41926,0.41872,0.93791,0.00050005,0.00050005,0.00050005
